iou,panel.year,annual.gen.gwh,capacity.gw
pge,2010,356.4596514534124,0.229141786159398
pge,2011,468.77856279460735,0.30093821262816
pge,2012,604.732306908601,0.387796008343763
pge,2013,873.5816072893216,0.559129268152763
pge,2014,1290.7753004691288,0.8253009150527629
pge,2015,1931.5708731622901,1.2340168147527628
pge,2016,2609.233055063527,1.666311081352763
pge,2017,3184.360283564991,2.033355090952763
pge,2018,3812.443393680631,2.434409888152763
pge,2019,4510.2200112852615,2.8797799766527628
sce,2010,138.3930268502613,0.084152474732716
sce,2011,211.1240536143321,0.12814697599906
sce,2012,338.2363298077345,0.20490678755557798
sce,2013,554.4604612014275,0.335402525105297
sce,2014,901.1171057245218,0.544293492693148
sce,2015,1428.5703425003783,0.863167525036286
sce,2016,1949.9109895735967,1.179006761265748
sce,2017,2407.0869676360653,1.4554189983365942
sce,2018,2864.514302152796,1.731876990127954
sce,2019,3362.7902325997784,2.032870993726759
sdge,2010,74.38214480741593,0.045508013059
sdge,2011,99.51939134401539,0.06084109735315
sdge,2012,138.45820829818882,0.08456755135315
sdge,2013,174.43692086331143,0.10649670835314999
sdge,2014,326.1306280365367,0.19891289335315
sdge,2015,615.9416766867143,0.37555962869915
sdge,2016,924.7862008323154,0.56380423969915
sdge,2017,1114.7516648452445,0.6796763836991501
sdge,2018,1361.6721234111271,0.8301972046991499
sdge,2019,1672.150239909148,1.01959982169915
