Utility Type,Utility Name,Year,Ag & Water Pump,Commercial Building,Commercial Other,Industry,Mining & Construction,Residential,Streetlight,Total Usage,,Res share,Commercial share,Industrial share
Investor owned utility,Pacific Gas and Electric Company,1990,4696.135812,21390.89956,3266.203894,14849.72094,1947.607861,23475.17757,410.580808,70036.32645,,34%,35%,21%
Investor owned utility,Pacific Gas and Electric Company,1991,4718.929184,21763.60709,3348.492034,14470.18805,1954.257282,23807.32178,420.59174,70483.38716,,34%,36%,21%
Investor owned utility,Pacific Gas and Electric Company,1992,4774.132649,22954.08696,3439.31792,14592.27079,1954.401592,23663.905,421.829099,71799.944,,33%,37%,20%
Investor owned utility,Pacific Gas and Electric Company,1993,3744.224043,23292.37174,3553.713273,14095.07017,1879.061017,24111.122,430.800757,71106.363,,34%,38%,20%
Investor owned utility,Pacific Gas and Electric Company,1994,4384.109182,23242.77496,3429.94322,14089.91105,1612.73533,24325.737,424.906262,71510.117,,34%,37%,20%
Investor owned utility,Pacific Gas and Electric Company,1995,3444.261936,23933.11863,3584.07463,15159.93567,1361.080326,24391.28,448.175818,72321.927,,34%,38%,21%
Investor owned utility,Pacific Gas and Electric Company,1996,3650.526388,24693.98669,3620.28746,14043.89028,1385.659668,25457.707,466.984516,73319.042,,35%,39%,19%
Investor owned utility,Pacific Gas and Electric Company,1997,3871.694081,26101.69104,3522.170519,14901.66047,1413.70078,25946.061,483.646112,76240.624,,34%,39%,20%
Investor owned utility,Pacific Gas and Electric Company,1998,3035.937481,25565.30459,3379.04891,14231.64469,1210.401447,26846.39484,530.263778,74798.99573,,36%,39%,19%
Investor owned utility,Pacific Gas and Electric Company,1999,3796.922145,27619.31215,3734.81563,14326.2883,1321.953035,27739.24214,424.749589,78963.28298,,35%,40%,18%
Investor owned utility,Pacific Gas and Electric Company,2000,3751.155014,29297.79473,4008.22347,14749.81531,1344.13791,28560.84776,415.143848,82127.11804,,35%,41%,18%
Investor owned utility,Pacific Gas and Electric Company,2001,4238.136928,28774.0111,3449.955681,13147.07321,1327.948807,26779.5522,419.117862,78135.79579,,34%,41%,17%
Investor owned utility,Pacific Gas and Electric Company,2002,4153.275553,29103.53521,3763.72298,12316.38466,1152.67128,27555.79972,400.76414,78446.15354,,35%,42%,16%
Investor owned utility,Pacific Gas and Electric Company,2003,3898.375471,29584.76093,3732.702568,11744.82075,1282.127929,28777.4899,407.68262,79427.96017,,36%,42%,15%
Investor owned utility,Pacific Gas and Electric Company,2004,4232.061874,30267.07929,3915.935057,11991.69562,1366.853871,29309.64115,414.548561,81497.81542,,36%,42%,15%
Investor owned utility,Pacific Gas and Electric Company,2005,3690.717095,29875.12531,3978.411724,12394.95656,1654.946795,29895.51726,422.485459,81912.16021,,36%,41%,15%
