fercID,utility,year,rateName,MWh,revenue,num_cstmr,KWhper_cust,avg_price,CARE_rate,remove,,,
133,PGE,2010,E1 - INDIVIDUALLY METERED,28195058,4376274502,4400351,6407,0.1552,0,0,,0.157064825,
133,PGE,2010,E6,64563,12363876,9845,6558,0.1915,0,0,,,
133,PGE,2010,E7 - TIME-OF-USE (TOU),787049,133916764,76241,10323,0.1702,0,0,,,
133,PGE,2010,E8 -SEASONAL SERVICE OPTION,898112,177774117,57178,15707,0.1979,0,0,,,
133,PGE,2010,EA7 -EXPERIMENTAL ALTERNATE,503,80939,39,12897,0.1609,0,0,,,
133,PGE,2010,EA9,1622,314082,166,9771,0.1936,0,0,,,
133,PGE,2010,EB9,29,3967,15,1933,0.1368,0,0,,,
133,PGE,2010,EM -MASTER-METERED MULTI- FAMILY,286850,50466014,18622,15404,0.1759,0,0,,,
133,PGE,2010,EMTOU,189,23178,5,37800,0.1226,0,0,,,
133,PGE,2010,ES -MULTI-FAMILY SERVICE,27091,3184338,263,103008,0.1175,0,0,,,
133,PGE,2010,ESR -RV PARK AND RESIDENTIAL MARI,1381,175815,31,44548,0.1273,0,0,,,
133,PGE,2010,ESRL -RV PARK AND RESIDENTIAL  MA,6069,680142,60,101150,0.1121,0,0,,,
133,PGE,2010,ET -MOBILEHOME PARK SERVICE,17724,1707336,278,63755,0.0963,0,0,,,
133,PGE,2010,SE1 -STANDBY - INDIVIDUALLY METER,7,789,1,7000,0.1127,0,0,,,
133,PGE,2010,SEM1 -STANDBY - MASTER-METERED,2993,408315,10,299300,0.1364,0,0,,,
133,PGE,2010,EML -MULTIFAMILY CARE PROGRAM,27497,2359162,181,151917,0.0858,1,0,,,
133,PGE,2010,ESL -MULTIFAMILY CARE,29633,2981294,261,113536,0.1006,1,0,,,
133,PGE,2010,ETL -LOW-INCOME MOBILE HOME,397906,32775291,2079,191393,0.0824,1,0,,,
133,PGE,2010,E1 - CALIFORNIA ALTERNATE RATES,0,0,0,0,0,0,1,,,
133,PGE,2010,ECLSD,0,-2108,0,0,0,0,1,,,
133,PGE,2010,ENET - NEW ENERGY METERING SERVIC,0,-54,0,0,0,0,1,,,
133,PGE,2010,LOW INCOME,0,0,0,0,0,0,1,,,
133,PGE,2010,MIS-RS,0,-2341,0,0,0,0,1,,,
133,PGE,2010,MULTI-RS,0,0,0,0,0,0,1,,,
133,PGE,2010,NEMS,0,-651,0,0,0,0,1,,,
133,PGE,2010,PEAK TOU SERVICE,0,0,0,0,0,0,1,,,
133,PGE,2010,STOUS -STANDBY - TOU SECONDARY -,0,16942,10,0,0,0,1,,,
133,PGE,2010,STOUS -STANDBY - TOU SECONDARY-IN,0,58,1,0,0,0,1,,,
